Material	SAE	DIN	WNR	KC 1.1 [Mpas]	KC 1.1 [Kpsi]	MC
Inconel 706 	AMS 5702 			3300 	479 	0.24
Inconel 718 	5383 	NiCr19Fe19NbMo 	2.4668 	3300 	479 	0.24
Inconel 718 DA 				3300 	479 	0.24
Inconel 718 OP 				3300 	479 	0.24
Inconel 718 Plus 				3300 	479 	0.24
Inconel 720 				3300 	479 	0.24
Inconel 721 				3300 	479 	0.24
Inconel 722 	5541 	NiCr16FeTi 		3300 	479 	0.24
Inconel 725 				3300 	479 	0.24
Inconel 725HS 				3300 	479 	0.24
Inconel 738 				3300 	479 	0.24
Inconel 740 				3300 	479 	0.24
Inconel 783 				3300 	479 	0.24
Inconel 800 				2600 	377 	0.24
Inconel 800H 				2600 	377 	0.24
Inconel 82 				3300 	479 	0.24
Inconel 939 				3300 	479 	0.24
Inconel C-276 				3300 	479 	0.24
Inconel G 				3300 	479 	0.24
Inconel G-3 				3300 	479 	0.24
Inconel HX 		NiCr22Fe18Mo 		3300 	479 	0.24
Inconel MA 6000 				3300 	479 	0.24
Inconel MA754 				3300 	479 	0.24
Inconel MA758 				3300 	479 	0.24
Inconel X-750 	5542 	NiCr16FeTi 	2.4669 	3300 	479 	0.24
Inconel X-751 				3300 	479 	0.24
Invar 36 	ASTM F1684 			2600 	377 	0.24
Invar 42 	ASTM F30 			2600 	377 	0.24
Jessop G81 		NiCr20Co18Ti 		3300 	479 	0.24
Jetalloy 209 				3300 	479 	0.24
Jethete M152 	5718.9 	X12CrNiMoV12-3 	1.4939 	2150 	312 	0.20
Jethete M448 				2150 	312 	0.20
Jethete X19 		X19CrMoNbVN11-1 		2150 	312 	0.20
Jethete X20 		X21CrMoV12-1 	1.4923 	2150 	312 	0.20
K12 				4600 	667 	0.25
K12 (HT) 				4700 	682 	0.25
L 251 				3300 	479 	0.24
L 605 	5759 	CoCr20W15Ni 	2.4964 	3300 	479 	0.24
L1 	L1 			2450 	355 	0.23
L3 	L3 	100Cr6 	1.2067 	2450 	355 	0.23
L6 				4700 	682 	0.25
L6 	L6 	55NiCrMoV6 	1.2713 	2450 	355 	0.23
M 203 				3300 	479 	0.24
M 204 				3300 	479 	0.24
M 205 				3300 	479 	0.24
M-252 	5551 	G-NiCr19Co 		3300 	479 	0.24
M2 	M2 	HS-6-5-2C 	1.3343 	2450 	355 	0.23
M3 	M3 			2450 	355 	0.23
M35 	M35 	S6/5/2/5 	1.3243 	2450 	355 	0.23
M7 				2450 	355 	0.23
MAR-M 247 				3300 	479 	0.24
MAR-M 302 		CoCrW10TaZrB 		3300 	479 	0.24
MAR-M 322 		CoCr22W9TaZrNb 		3300 	479 	0.24
MAR-M 509 		CoCr24Ni10WTaZrB 		3300 	479 	0.24
MAR-M 905 				3300 	479 	0.24
MAR-M 918 		CoCr20Ni20Ta 		3300 	479 	0.24
Maraging C200 				4600 	667 	0.25
Maraging C250 	6501, 6512, 6520 			4600 	667 	0.25
Maraging C300 	6514 			4600 	667 	0.25
Maraging C350 				4600 	667 	0.25
Maraging T200 				4600 	667 	0.25
Maraging T250 	6518, 6519, 6591 			4600 	667 	0.25
Maraging T300 				4600 	667 	0.25
Marval 18 				3100 	450 	0.24
Marval X12 				3100 	450 	0.24
Mh97+Pb 				4700 	682 	0.25
Monel 400 	4544 	NiCu30Fe 	2.4360 	3300 	479 	0.24
Monel K500 	4676 	NiCu30Al 	2.4375 	3300 	479 	0.24
Monel R405 	4674 			3300 	479 	0.24
MP159 				3300 	479 	0.24
MP35N 				3300 	479 	0.24
Multimet N-155 	5768 		1.4971 	3300 	479 	0.24
Multimet N-156 				3300 	479 	0.24
Nickel 200 Alloy 	ASME SB-160 - SB-163 	17750-17754 		3300 	479 	0.24
Nickel 201 Alloy 	AMS 5553 	17740 		3300 	479 	0.24
Nimocast 713 	5391A 	G.NiCr13Al16MoNb 		3300 	479 	0.24
Nimocast 80 				3300 	479 	0.24
Nimocast 90 				3300 	479 	0.24
Nimocast PD16 		NiFe33Cr17Mo 		3300 	479 	0.24
Nimocast PE10 				3300 	479 	0.24
Nimocast PK24 				3300 	479 	0.24
Nimonic 101 				3300 	479 	0.24
Nimonic 105 		NiCo20Cr15MoAlTi 	2.4634 	3300 	479 	0.24
Nimonic 115 		NiCo15Cr15MoAlTi 	2.4636 	3300 	479 	0.24
Nimonic 75 		NiCr20Ti 	2.4630 	3300 	479 	0.24
Nimonic 80A 		NiCr20TiAl 	2.4631 	3300 	479 	0.24
Nimonic 86 				3300 	479 	0.24
Nimonic 90 		NiCr20Co18Ti 	2.4632 	3300 	479 	0.24
Nimonic 901 	5660, 5661 	NiCr15MoTi 	2.4662 	3300 	479 	0.24
Nimonic 91 				3300 	479 	0.24
Nimonic 95 				3300 	479 	0.24
Nimonic C22 	ASME SB575 			3300 	479 	0.24
Nimonic C263 		NiCr20CoMoTi 	2.4650 	3300 	479 	0.24
Nimonic C276 	ASME SB575 		2.4819 	3300 	479 	0.24
Nimonic PE13 	5536E 	NiCr22Fe18Mo 		3300 	479 	0.24
Nimonic PE16 		NiFe33Cr17Mo 		3300 	479 	0.24
Nimonic PK25 	5751A 	NiCr18CoMo 	2.4666 	3300 	479 	0.24
Nimonic PK31 				3300 	479 	0.24
Nimonic PK33 		NiCr20Co16MoTi 		3300 	479 	0.24
Nitronic 50 				2150 	312 	0.20
Nitronic 60 				2150 	312 	0.20
O1 	O1 	100MnCrW4 	1.2510 	2450 	355 	0.23
P2 	P2 	21MnCr5 	1.2162 	2450 	355 	0.23
P20 	P20 	40CrMnMo7 	1.2311 	2450 	355 	0.23
P20+S 	P20+S 	40CrMnMoS86 	1.2312 	2450 	355 	0.23
P21 	P21 	X19NiCrMo4 	1.2764 	2450 	355 	0.23
P4 	P4 	X6CrMo4 	1.2341 	2450 	355 	0.23
R-235 	AISI 686 			3300 	479 	0.24
RA 330 	5592, 5716 			2600 	377 	0.24
Refractaloy 26 	AlSl 690 			3300 	479 	0.24
René 100 		NiCo15Cr10MoAlTi 	2.4674 	3300 	479 	0.24
René 104 				3300 	479 	0.24
René 125 				3300 	479 	0.24
René 41 	5712, 5713 	NiCr19Co11MoTi 	2.4973 	3300 	479 	0.24
René 63 				3300 	479 	0.24
René 77 				3300 	479 	0.24
René 80 				3300 	479 	0.24
René 95 				3300 	479 	0.24
REX 734 	ASTM F1586 			2150 	312 	0.20
S 590 	5533 	X40CoCrNi2020 		3300 	479 	0.24
S 816 	5534 	CoCr20Ni20W 	2.4979 	3300 	479 	0.24
S1 	S1 	45WCrV7 	1.2542 	2450 	355 	0.23
S240 				2150 	312 	0.20
S4 	S4 	60MnSiCr4 	1.2826 	2450 	355 	0.23
S7 	S7 			2450 	355 	0.23
Sanicro 30 		X2NiCrAlTi3220 		3300 	479 	0.24
Staballoy AG17 				2150 	312 	0.20
Staybrite® 4435NCu 		X2CrNi18-13-3 		2150 	312 	0.20
Stellite 1 				3300 	479 	0.24
Stellite 100 				3300 	479 	0.24
Stellite 12 				3300 	479 	0.24
Stellite 151 				3300 	479 	0.24
Stellite 188 				3300 	479 	0.24
Stellite 19 				3300 	479 	0.24
Stellite 20 				3300 	479 	0.24
Stellite 21 				3300 	479 	0.24
Stellite 23 				3300 	479 	0.24
Stellite 25 (L605) 	5759 	CoCr20W15Ni 	2.4964 	3300 	479 	0.24
Stellite 3 				3300 	479 	0.24
Stellite 30 				3300 	479 	0.24
Stellite 31 (X40) 	ASTM A567 	CoCr25NiW 		3300 	479 	0.24
Stellite 4 				3300 	479 	0.24
Stellite 45 				3300 	479 	0.24
Stellite 6 				3300 	479 	0.24
Stellite 7 				3300 	479 	0.24
Stellite 8 (F75) 				3300 	479 	0.24
Stelloy HS27 		NiCo32Cr26Mo 		3300 	479 	0.24
Super duplex 2507 		X2CrNiMoCuN25-6-3 		2150 	312 	0.20
Super Duplex 4565 				2150 	312 	0.20
Super Invar 32-5 				2600 	377 	0.24
T1 	T1 	S18.0.1 	1.3355 	2450 	355 	0.23
T4 	T4 	S18.1.2.5 	1.3255 	2450 	355 	0.23
Ti-10.2.3 				2110 	306 	0.22
Ti-11.5Mo-6Zr-4.5Sn 				2110 	306 	0.22
Ti-12Mo-6Zr-2Fe (TMZF) 				2110 	306 	0.22
Ti-13Nb-13Zr 				2110 	306 	0.22
Ti-13V-11Cr-3Al 	4917 	TiV13Cr11Al3 		2110 	306 	0.22
Ti-15-333 				2110 	306 	0.22
Ti-15Mo (Alpha + Beta) 				2110 	306 	0.22
Ti-15Mo (Beta) 				2110 	306 	0.22
Ti-15Mo-3Nb-3Al-0.2Si 	ASTM Grade 21 			2110 	306 	0.22
Ti-3Al-2.5V 	4943, 4944 			2110 	306 	0.22
Ti-3Al-8V-6Cr-4Mo-4Zr 				2110 	306 	0.22
Ti-425 				2110 	306 	0.22
Ti-425 MIL 				2110 	306 	0.22
Ti-45Nb 				2110 	306 	0.22
Ti-48Al-2Cr-2Nb 				2110 	306 	0.22
Ti-4Al-4Mo-2Sn-0.5Si 		TiAl4Mo4Sn2Si0.5 		2110 	306 	0.22
Ti-4Al-4Mo-4Sn-0.5Si 		TiAl4Mo4Sn4Si0.5 		2110 	306 	0.22
Ti-5Al-2.5Fe (Tikrutan) 				2110 	306 	0.22
Ti-5Al-2.5Sn 	ASTM B 265 	TiAl5Sn2 	3.7115 	3300 	479 	0.24
Ti-5Al-2Sn-2Zr-4Cr-4Mo 	4995 	Ti5Al2Sn2Zr4Cr4Mo 		2110 	306 	0.22
Ti-5Al-5Mo-5V-1Cr-1Fe 				2110 	306 	0.22
Ti-5Al-5V-5Mo-3Cr 				2110 	306 	0.22
Ti-6-2-4-6 	4981 			2110 	306 	0.22
Ti-6-7 				2110 	306 	0.22
Ti-6Al-2Sn-2Zr-2Mn-2Cr-0.2Si 				2110 	306 	0.22
Ti-6Al-4V (Grade 5) 	4906, 4920, 4928, 	TiAl6V4 		2110 	306 	0.22
Ti-6Al-4V ELI 	4907, 4930, 4931 			2110 	306 	0.22
Ti-6Al-4V MIL 	4906, 4920, 4928, 	TiAl6V4 		2110 	306 	0.22
Ti-6Al-4V MIL (HT) 	4906, 4920, 4928, 	TiAl6V4 		2110 	306 	0.22
Ti-6Al-4Zr-2Mo-2Sn 				2110 	306 	0.22
Ti-6Al-4Zr-2Mo-2Sn-0.2Si 	4919, 4975, 4976 	TiAl6Zr4Mo2Sn2 		2110 	306 	0.22
Ti-6Al-5Zr-0.5Mo-0.25Si 		TiA6Zr5Mo0.5Si0.25 		2110 	306 	0.22
Ti-6Al-5Zr-4Mo-Cu-0.2Si 		TiAl6Zr5Mo4CuSi0.2 		2110 	306 	0.22
Ti-6Al-6V-2Sn 	4971 	TiAl16V6Sn2 		2110 	306 	0.22
Ti-6Al-7Nb 		TiAl7Nb 		2110 	306 	0.22
Ti-7Al-4Mo 	ASTM B381 	TiAl7Mo4 		2110 	306 	0.22
Ti-8Al-1Mo-1V 	4915, 4933, 4972 	TiAl8Mo1V1 		2110 	306 	0.22
Ti-8Mo-8V-2Fe-3Al 				2110 	306 	0.22
Ti-99.5 (Grade 1) 	Grade 1 B381F4 	Ti-99.5 		1700 	247 	0.23
Ti-99.6 (Grade 2) 	Grade 2 B381F3 	Ti-99.6 		1700 	247 	0.23
Ti-99.7 (Grade 3) 	Grade 3 B381F2 	Ti-99.7 		1700 	247 	0.23
Ti-99.8 (grade 4) 	Grade 4 B381F1 	Ti-99.8 		1700 	247 	0.23
TRW VIA 		NiTa9Co8W6CrAl 		3300 	479 	0.24
Udimet 500 	AlSl 684 	NiCr18CoMoAlTi 	2.4983 	3300 	479 	0.24
Udimet 520 				3300 	479 	0.24
Udimet 630 		NiCr19NbMo 		3300 	479 	0.24
Udimet 700 	AlSl 687 	NiCo15Cr15MoAlTi 	2.4636 	3300 	479 	0.24
Udimet 710 				3300 	479 	0.24
Udimet 718 	5383 	NiCr19Fe19NbMo 	2.4668 	3300 	479 	0.24
Udimet 720 				3300 	479 	0.24
Udimet B-250 				3100 	450 	0.24
Udimet B-300 				3100 	450 	0.24
Uranus 35N 		X2CrNiN23-4 		2150 	312 	0.20
Uranus 45N22CrMo 		X2CrNiMoN22-5-3 		2150 	312 	0.20
Uranus 52N+ 		X2CrNiMoCuN25-6-3 		2150 	312 	0.20
Uranus 65 		X1CrNi25-21 		2150 	312 	0.20
Uranus B25 6Mo 		X1NiCrMoCuN20-18-7 		2150 	312 	0.20
Uranus B26 6Mo 		X1NiCrMoCuN25-20-7 		2150 	312 	0.20
Uranus B28 		X1NiCrMoCu31-27-4 		2150 	312 	0.20
Uranus B6 		X1NiCrMoCuN25-20-5 	1.4539 	2150 	312 	0.20
Uranus B66 		X1NiCrMoCu22-24-6 		2150 	312 	0.20
Uranus S1 4%Si 		X1CrNiSi18-15-4 		2150 	312 	0.20
V-36 		CoCr25Ni20MoWNb 		3300 	479 	0.24
W-545 	AlSl:665 			3100 	450 	0.24
W110 				1775 	257 	0.24
W112 	W112 	C125W 	1.1663 	1700 	247 	0.24
W210 	W210 	100V1 	1.2833 	1775 	257 	0.24
Waspaloy® 	5544 	NiCr20Co14MoTi 	2.4654 	3300 	479 	0.24
WI-52 		CoCr21Mo11W 		3300 	479 	0.24
X 40 	ASTM A567 	CoCr25NiW 		3300 	479 	0.24
X 45 				3300 	479 	0.24
X 50 				3300 	479 	0.24
X 63 				3300 	479 	0.24
X10CrAl18 		X10CrAl18 	1.4742 	1875 	272 	0.21
X12CrNiMoS18-11 		X12CrNiMoS18-11 	1.4427 	1875 	272 	0.21
X12CrNiWTi16-3 		X12CrNiWTi16-3 		1875 	272 	0.21
X17CrNi16-02 		X17CrNi16-02 	1.4057 	1875 	272 	0.21
X20CrNi17-2 		X20CrNi17-2 		1875 	272 	0.21
X20CrNiMo22-5-3 		X20CrNiMo22-5-3 		1875 	272 	0.21
X22CrMoV12.1 	ASTM A437-76 Grade B4B 	X22CrMoV12-1 = ST12T 		1875 	272 	0.21
X2CrNiMo18-15-3 		X2CrNiMo18-15-3 		1875 	272 	0.21
X30Cr13 		X30Cr13 		1875 	272 	0.21
X30CrMoN15-1 		X30CrMoN15-1 	1.4028 	1875 	272 	0.21
X3CrNiCuTiNb12-9 		X3CrNiCuTiNb12-9 		1875 	272 	0.21
X40CrMoVN16-2 	ASTM F899 	X40CrMoVN16-2 	1.4123 	2150 	312 	0.20
X40CrNiSi25-20 		X40CrNiSi25-20 	1.4848 	2150 	312 	0.20
X40CrSiMo10-2 		X40CrSiMo10-2 	1.4731 	2150 	312 	0.20
X40NiCrSi38-18 		X40NiCrSi38-18 	1.4865 	2150 	312 	0.20
X45CrNiW18-9 		X45CrNiW18-9 	1.4873 	2150 	312 	0.20
X46CrS13 		X46CrS13 		1875 	272 	0.21
X4CrNiMo16-5-1 		X4CrNiMo16-5-1 	1.4418 	1875 	272 	0.21
X8CrCoNiMo10-6 				2150 	312 	0.20
X8CrMnMoN23-21-1 		X8CrMnMoN23-21-1 		2150 	312 	0.20
X8CrNiSCu18-9 		X8CrNiSCu18-9 		1875 	272 	0.21
X90CrMoV18 		X90CrMoV18 		1875 	272 	0.21
XM19 	ASTM F1314 			2150 	312 	0.20
Z2NKDT18-10-5 		X3NiCoMoTi18.9.5 	1.2709 	2450 	355 	0.23
Z38CDV5 				4700 	682 	0.25
Z38CDV5-3 		X40CrMoV53 	1.2367 	2450 	355 	0.23
